,group id,BrainID,roi id,Count,Total Area,Average Size,%Area,Perim.,ROI um^2,ROI mm^2,#Cell Density/mm^2,Genotype,Sex,Treatment
114,I,5,PALv,10.66666667,318.928,24.89,0.049,16.91166667,576575.72,0.57657572,16.57919906,GG,F,SAL
115,I,5,PL,83,3770.96,45.271,1.8045,23.679,208688.266,0.208688266,399.2832197,GG,F,SAL
116,I,5,PVT,53.33333333,2508.921667,46.87366667,1.213333333,23.472,240755.8137,0.240755814,259.5267614,GG,F,SAL
117,I,5,SNc,12,506.0896667,38.54466667,0.149333333,20.399,312999.068,0.312999068,36.33994737,GG,F,SAL
118,I,5,SNr,3.333333333,95.48866667,29.89733333,0.022,17.69966667,454688.3127,0.454688313,7.728475201,GG,F,SAL
119,I,5,VTA,14.33333333,588.8463333,38.02533333,0.231333333,20.53733333,240473.8457,0.240473846,56.57115568,GG,F,SAL
120,I,6,ACAd,12.5,365.169,27.819,0.235,19.5435,141311.617,0.141311617,80.95737256,GG,F,SAL
121,I,6,ACAv,45.66666667,1513.684667,33.46166667,0.895333333,20.09033333,170399.4977,0.170399498,267.7713285,GG,F,SAL
122,I,6,ACB,4,158.0436667,41.99233333,0.015666667,25.02,989661.3413,0.989661341,3.995190794,GG,F,SAL
123,I,6,AId,0.666666667,39.26566667,58.8985,0.023666667,29.417,160957.1273,0.160957127,3.921670053,GG,F,SAL
124,I,6,AIv,3,159.0253333,53.008,0.041666667,25.582,358227.9683,0.358227968,7.841689607,GG,F,SAL
125,I,6,BLA,3,133.713,43.74933333,0.109666667,22.172,121497.935,0.121497935,24.23102719,GG,F,SAL
126,I,6,BST,23.33333333,798.9273333,33.94733333,0.260666667,19.707,338278.3153,0.338278315,74.64646431,GG,F,SAL
127,I,6,CEA,1,61.82433333,62.5435,0.019666667,30.462,362184.7357,0.362184736,3.173373569,GG,F,SAL
128,I,6,CLA,0.333333333,18.651,55.953,0.034666667,26.279,54897.092,0.054897092,6.175772655,GG,F,SAL
129,I,6,CP,23.25,867.234,34.2515,0.02975,20.22725,2575218.26,2.57521826,8.068111666,GG,F,SAL
130,I,6,DG,5.666666667,191.2243333,37.807,0.190666667,21.25,107942.571,0.107942571,58.0525806,GG,F,SAL
131,I,6,GPe,0.5,12.94,25.88,0.011,15.902,231155.774,0.231155774,4.221862024,GG,F,SAL
